"acceptability"	"important"	"direct"	"expensive"	"previoustrolley"	"gender"	"age"	"topiccomp"	"expensivecomp"	"importancecomp"	"failed"
"453"	3	1	2	1	2	2	36	4	2	2	1
"454"	7	1	2	1	1	1	28	4	1	1	NA
"455"	7	1	2	1	2	2	28	4	1	1	NA
"456"	7	1	2	1	1	1	21	4	1	1	NA
"457"	3	1	2	1	2	2	28	4	2	2	1
"458"	9	1	2	1	1	2	36	4	1	1	NA
"459"	7	1	2	1	2	2	38	4	1	1	NA
"460"	7	1	2	1	1	1	21	4	1	1	NA
"461"	9	1	2	1	2	2	37	4	1	1	NA
"462"	7	1	2	1	2	1	28	4	1	1	NA
"463"	9	1	2	1	1	2	35	4	1	1	NA
"464"	9	1	2	1	2	1	58	4	1	1	NA
"465"	7	1	2	1	1	1	61	4	2	2	1
"466"	7	1	2	1	1	2	56	4	1	1	NA
"467"	9	1	2	1	1	2	60	4	1	1	NA
"468"	8	1	2	1	2	2	53	4	2	2	1
"469"	7	1	2	1	2	2	39	4	2	2	1
"470"	5	1	2	1	2	1	28	4	1	1	NA
"471"	9	1	2	1	2	1	35	4	1	1	NA
"472"	9	1	2	1	1	2	47	4	1	1	NA
"473"	7	1	2	1	2	1	62	4	1	1	NA
"474"	7	1	2	1	1	2	23	4	1	1	NA
"475"	7	1	2	1	2	2	37	4	1	1	NA
"476"	5	1	2	1	2	1	37	4	1	1	NA
"477"	9	1	2	1	1	1	45	4	1	1	NA
"478"	8	1	2	1	1	2	25	4	1	1	NA
"479"	9	1	2	1	1	2	21	4	1	1	NA
"480"	9	1	2	1	1	1	66	4	2	2	1
"481"	9	1	2	1	2	2	27	4	2	2	1
"482"	9	1	2	1	2	2	28	4	1	1	NA
"483"	6	1	2	1	2	2	57	4	1	1	NA
"484"	8	1	2	1	1	1	35	4	1	1	NA
"485"	9	1	2	1	2	1	24	4	1	1	NA
"486"	9	1	2	1	1	2	36	4	1	1	NA
"487"	9	1	2	1	1	1	32	4	1	1	NA
"488"	7	1	2	1	1	1	49	4	1	1	NA
"489"	9	1	2	1	1	1	24	4	1	1	NA
"490"	5	1	2	1	1	1	30	4	2	2	1
"491"	8	1	2	1	2	2	42	4	1	1	NA
"492"	7	1	2	1	1	2	41	4	1	1	NA
"493"	8	1	2	1	1	2	29	4	1	1	NA
"494"	7	1	2	1	2	2	26	4	1	1	NA
"495"	7	1	2	1	2	1	24	4	1	1	NA
"496"	7	1	2	2	2	2	29	4	2	2	NA
"497"	7	1	2	2	2	1	28	4	2	2	NA
"498"	7	1	2	2	2	2	31	4	2	2	NA
"499"	5	1	2	2	2	1	31	4	2	2	NA
"500"	7	1	2	2	2	1	49	4	2	2	NA
"501"	8	1	2	2	2	2	39	4	2	2	NA
"502"	7	1	2	2	1	1	32	4	2	2	NA
"503"	8	1	2	2	1	2	46	4	2	2	NA
"504"	7	1	2	2	2	2	47	4	2	2	NA
"505"	9	1	2	2	2	1	25	4	2	2	NA
