"acceptability"	"important"	"direct"	"cover"	"gender"	"age"	"storycomp"	"itemcomp"	"ownercomp"	"failed"
"342"	9	2	2	1	1	23	4	3	2	NA
"343"	7	2	2	2	2	26	1	1	3	1
"344"	5	2	2	2	1	26	1	1	4	1
"345"	5	2	2	2	1	24	1	1	4	1
"346"	8	2	2	2	2	29	1	1	4	1
"347"	5	2	2	2	1	29	1	3	3	1
"348"	7	2	2	2	1	44	1	3	3	1
"349"	7	2	2	2	1	21	1	3	3	1
"350"	9	2	2	2	1	26	1	3	3	1
"351"	3	2	2	2	2	29	1	4	3	1
"352"	5	2	2	2	1	23	2	2	2	1
"353"	6	2	2	2	2	23	3	2	4	1
"354"	1	2	2	2	1	30	1	3	4	NA
"355"	3	2	2	2	2	35	1	3	4	NA
"356"	3	2	2	2	1	26	1	3	4	NA
"357"	5	2	2	2	2	55	1	3	4	NA
"358"	5	2	2	2	1	32	1	3	4	NA
"359"	5	2	2	2	2	37	1	3	4	NA
"360"	5	2	2	2	2	36	1	3	4	NA
"361"	5	2	2	2	1	21	1	3	4	NA
"362"	5	2	2	2	2	21	1	3	4	NA
"363"	5	2	2	2	2	33	1	3	4	NA
"364"	5	2	2	2	1	26	1	3	4	NA
"365"	5	2	2	2	1	31	1	3	4	NA
"366"	5	2	2	2	2	60	1	3	4	NA
"367"	5	2	2	2	2	24	1	3	4	NA
"368"	6	2	2	2	2	19	1	3	4	NA
"369"	6	2	2	2	1	38	1	3	4	NA
"370"	6	2	2	2	1	25	1	3	4	NA
"371"	6	2	2	2	2	28	1	3	4	NA
"372"	6	2	2	2	2	27	1	3	4	NA
"373"	7	2	2	2	2	36	1	3	4	NA
"374"	7	2	2	2	1	28	1	3	4	NA
"375"	7	2	2	2	1	37	1	3	4	NA
"376"	7	2	2	2	1	24	1	3	4	NA
"377"	7	2	2	2	1	25	1	3	4	NA
"378"	7	2	2	2	1	25	1	3	4	NA
"379"	7	2	2	2	1	20	1	3	4	NA
"380"	7	2	2	2	1	33	1	3	4	NA
"381"	7	2	2	2	1	36	1	3	4	NA
"382"	7	2	2	2	2	34	1	3	4	NA
"383"	7	2	2	2	2	40	1	3	4	NA
"384"	8	2	2	2	2	23	1	3	4	NA
"385"	9	2	2	2	2	58	1	3	4	NA
"386"	9	2	2	2	1	30	1	3	4	NA
"387"	9	2	2	2	2	27	1	3	4	NA
"388"	9	2	2	2	1	34	1	3	4	NA
"389"	9	2	2	2	2	29	1	3	4	NA
"390"	9	2	2	2	2	22	1	3	4	NA
"391"	9	2	2	2	1	26	1	3	4	NA
"392"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"393"	NA	1	1	1	1	NA	NA	NA	NA	NA
"394"	NA	2	2	2	2	NA	NA	NA	NA	NA
